date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:56	26547/26547	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:56%20GMT	http://dubaiexchange.co/termsandconditions.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/termsandconditions.html	(from https://dubaiexchange.co/)
16:40:56	26244/26244	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:10:56%20GMT	http://dubaiexchange.co/privacypolicy.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/privacypolicy.html	(from https://dubaiexchange.co/)
16:40:56	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Dec%202025%2011:10:57%20GMT	http://dubaiexchange.co/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://dubaiexchange.co/)
16:40:57	134044/134044	---M--	200	added ('OK')	font/woff2	etag:W/%2220b9c-tEH8/5OeJPoJBqN7d4h4i5/du2g%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a	C:/My%20Web%20Sites/usdt%20website/cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/fonts/bootstrap-icons04d5.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css)
16:40:58	771/771	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Dec%202025%2011:10:58%20GMT	http://dubaiexchange.co/robots.txt		(from https://dubaiexchange.co/)
16:40:59	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:10:59%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/auth/login.php)
16:41:00	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:00%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/auth/signup.php)
16:41:01	76/76	---MCZ	200	added ('OK')	application/json	date:Thu,%2018%20Dec%202025%2011:11:01%20GMT	http://dubaiexchange.co/auth/signup_process.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/auth/signup_process.json	(from http://dubaiexchange.co/auth/signup.php)
16:41:01	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:02%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/index.php)
16:41:02	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:02%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/rates.php)
16:41:03	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:03%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/testimonial.php)
16:41:03	180288/180288	---M--	200	added ('OK')	font/woff	etag:W/%222c040-diAQx5tKBeETH8j7Oxrv8yTYAz8%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/fonts/bootstrap-icons.woff?e34853135f9e39acf64315236852cd5a	C:/My%20Web%20Sites/usdt%20website/cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/fonts/bootstrap-icons04d5.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css)
16:41:04	30066/30066	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Dec%202025%2011:11:04%20GMT	http://dubaiexchange.co/auth/login.php?redirect=testimonial.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/auth/login747e.html	(from http://dubaiexchange.co/testimonial.php)
16:41:04	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:05%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/news.php)
16:41:05	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:05%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/contact.php)
16:41:05	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/usdt%20website/code.jquery.com/jquery-3.6.0.min.js	(from http://dubaiexchange.co/testimonial.php)
16:41:06	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:06%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/aboutus.php)
16:41:06	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:07%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/termsandconditions.php)
16:41:08	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:08%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/privacypolicy.php)
16:41:08	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/My%20Web%20Sites/usdt%20website/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from http://dubaiexchange.co/termsandconditions.php)
16:41:08	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css)
16:41:08	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2018%20Dec%202025%2011:11:09%20GMT	http://dubaiexchange.co/deposit.php	C:/My%20Web%20Sites/usdt%20website/dubaiexchange.co/deposit.php	(from http://dubaiexchange.co/auth/login.php?redirect=testimonial.php)
